# bias1 bias2 bias3 bias4 gain
4.82 4.61 1.88 1.41 1.12997
4.82 4.61 1.88 1.42 0.981079
4.82 4.61 1.89 1.38 1.00346
4.82 4.61 1.89 1.39 1.14305
4.82 4.61 1.89 1.4 1.0299
4.82 4.61 1.89 1.41 1.09036
4.82 4.61 1.89 1.42 1.20866
4.82 4.61 1.9 1.38 1.07843
4.82 4.61 1.9 1.39 0.940498
4.82 4.61 1.9 1.4 0.907238
4.82 4.61 1.9 1.41 1.01284
4.82 4.61 1.9 1.42 1.03707
4.82 4.61 1.91 1.38 1.20494
4.82 4.61 1.91 1.39 0.999985
4.82 4.61 1.91 1.4 1.06498
4.82 4.61 1.91 1.41 1.00126
4.82 4.61 1.91 1.42 1.07475
4.82 4.61 1.92 1.38 1.01688
4.82 4.61 1.92 1.39 0.990147
4.82 4.61 1.92 1.4 1.1969
4.82 4.61 1.92 1.41 1.08505
4.82 4.61 1.92 1.42 1.0297
4.82 4.62 1.88 1.38 1.11005
4.82 4.62 1.88 1.39 0.978173
4.82 4.62 1.88 1.4 1.09497
4.82 4.62 1.88 1.41 0.942783
4.82 4.62 1.88 1.42 1.05889
4.82 4.62 1.89 1.38 0.983315
4.82 4.62 1.89 1.39 0.934086
4.82 4.62 1.89 1.4 1.29014
4.82 4.62 1.89 1.41 1.22905
4.82 4.62 1.89 1.42 1.12089
4.82 4.62 1.9 1.38 0.973122
4.82 4.62 1.9 1.39 1.11023
4.82 4.62 1.9 1.4 0.993486
4.82 4.62 1.9 1.41 1.14847
4.82 4.62 1.9 1.42 1.24774
4.82 4.62 1.91 1.38 1.00477
4.82 4.62 1.91 1.39 1.12835
4.82 4.62 1.91 1.4 1.25783
4.82 4.62 1.91 1.41 1.08449
4.82 4.62 1.91 1.42 1.01529
4.82 4.62 1.92 1.38 1.4155
4.82 4.62 1.92 1.39 1.16441
4.82 4.62 1.92 1.4 1.05568
4.82 4.62 1.92 1.41 1.01049
4.82 4.62 1.92 1.42 2.29371
